,,probe_id,avg,avg,avg,avg,avg,avg,avg,avg,src_addr,dst_addr,sent,received
,,nunique,count,mean,std,min,25%,50%,75%,max,nunique,nunique,sum,sum
country_code,timestamp,,,,,,,,,,,,,
AE,2020-06-22 00:00:00,8,256,108.74521746874925,83.54871055125707,5.18365,11.335373166699998,141.90814699999999,143.385432083325,265.2283096667,11,8,770,770
AE,2020-06-22 01:00:00,8,257,108.25852335279025,83.5832916811678,5.17709,11.3156516667,141.9257426667,143.39862,265.7462233333,11,8,773,773
AE,2020-06-22 02:00:00,8,257,108.25578907003701,83.58214748752185,5.0204949999999995,11.373588,141.9196863333,143.377868,265.5100636667,11,8,775,775
AE,2020-06-22 03:00:00,9,259,107.6082634142853,83.78241154059404,5.185075,11.3555505,141.91127600000002,143.36477683335,266.00132433330003,12,10,782,782
AE,2020-06-22 04:00:00,10,258,107.98183659560854,83.56210424985079,5.2338016667,11.410811666675,141.93571683335,143.414367500025,265.3139766667,13,9,778,778
AE,2020-06-22 05:00:00,10,261,107.30436438850725,83.63787776118552,5.2483566667,11.4076956667,141.960258,143.4607516667,266.0058203333,13,11,791,791
AE,2020-06-22 06:00:00,9,258,108.52563273514343,83.33953421255183,5.323685,11.491853000025,141.95261699999998,143.43328708334997,265.21696099999997,12,10,779,779
AE,2020-06-22 07:00:00,9,257,108.34098092088209,83.63300102985755,5.279185,11.469292,141.9691356667,143.5200333333,277.75198566669997,12,8,773,773
AE,2020-06-22 08:00:00,9,257,108.72835264669025,83.36169908846259,5.014515,11.465864999999999,141.9664363333,143.4714263333,265.9530286667,12,8,773,773
AE,2020-06-22 09:00:00,8,256,108.8335697200511,83.54552199805735,5.2802983333,11.49650516665,142.02243333335002,143.510196499975,266.0363116667,11,8,770,770
AE,2020-06-22 10:00:00,10,260,107.55126795333109,83.6005015716498,5.059674,11.49426975,141.94625316665,143.440408333325,265.2499446667,13,10,786,786
AE,2020-06-22 11:00:00,8,256,109.12908464192537,83.27215479372501,5.26981,11.5051749167,141.99339783335,143.5102245833,265.4669253333,11,8,770,770
AE,2020-06-22 12:00:00,9,256,108.88499676692898,83.57813527038574,5.24679,11.4575120833,142.01677333335,143.48890333335,265.566073,12,7,768,768
AE,2020-06-22 13:00:00,9,257,108.41764336705681,83.59443673115749,5.2177033333,11.489383,142.228929,143.48532600000001,265.3664203333,12,9,775,775
AE,2020-06-22 14:00:00,9,259,108.03606792071933,83.50298055626868,5.2175416667,11.4301243333,142.2022143333,143.45713949999998,265.184651,12,11,785,785
AE,2020-06-22 15:00:00,9,259,107.71717070605095,83.75755236143308,5.2710550000000005,11.44217683335,142.220329,143.4673891667,265.3256073333,12,9,781,781
AE,2020-06-22 16:00:00,10,258,108.47573382945626,83.47905820485205,5.2852166667,11.465808583325002,142.249335,143.48985983335,265.3168703333,13,9,778,778
AE,2020-06-22 17:00:00,8,255,109.97584184836515,84.14755710737138,5.2263216667000005,11.4796115,142.2221593333,143.60724199999999,299.8426293333,11,7,764,760
AE,2020-06-22 18:00:00,9,256,108.98850963151055,83.62321328871286,5.007575,11.482116499975,142.2199075,143.49852941669997,265.93918233330004,12,7,766,766
AE,2020-06-22 19:00:00,9,257,108.46235311076502,83.62644245812365,5.1451333333,11.455145333299999,142.1936086667,143.4562313333,265.4148283333,12,9,775,775
AE,2020-06-22 20:00:00,9,259,108.02854811248493,83.61639918167673,5.1464866667,11.410477499999999,142.2048163333,143.48633783335,265.8697786667,12,10,781,781
AE,2020-06-22 21:00:00,8,256,108.79831510937615,83.5773761693751,5.1876683332999995,11.345751333325001,142.17644616665,143.416688916675,266.59295499999996,11,8,769,769
AE,2020-06-22 22:00:00,9,257,108.4527131063564,83.6823604389331,5.20615,11.3654496667,142.158423,143.4444576667,265.577109,12,8,775,775
AE,2020-06-22 23:00:00,9,257,108.41078031647393,83.6663028552786,5.155215,11.346003,142.17745,143.4701266667,265.16277433330004,12,8,775,775
AL,2020-06-22 00:00:00,9,38,37.97968182631579,19.158201436187444,12.603461,32.5868100833,32.638963166699995,32.732957999975,103.45415,9,6,106,106
AL,2020-06-22 01:00:00,9,38,37.746235707023686,19.395967998080444,6.1466416667,32.598318416675,32.63920116665,32.718426083349996,103.443855,9,5,104,104
AL,2020-06-22 02:00:00,9,38,37.91101036841842,18.779616837594972,14.997735,32.60087591665,32.64131616665,32.766514583325,102.07099000000001,9,5,104,104
AL,2020-06-22 03:00:00,9,37,37.85493262161892,19.01144491457742,12.909892,32.6009196667,32.6454073333,32.7141066667,102.159145,9,5,101,101
AL,2020-06-22 04:00:00,8,37,38.63229083603784,18.58868526257391,15.865845000000002,32.601279,32.647047666700004,32.7683323333,102.326025,8,5,101,101
AL,2020-06-22 05:00:00,9,37,37.983584018016224,19.142112553220596,12.620548,32.6174073333,32.6392216667,32.7340796667,102.600275,9,5,101,101
AL,2020-06-22 06:00:00,8,37,38.786263848648645,18.671354897882537,15.856620000000001,32.6019286667,32.6625536667,32.77887,101.560955,8,5,101,101
AL,2020-06-22 07:00:00,9,38,37.017240438600005,20.0020574541458,5.6935083333000005,32.607687750025,32.67314233335,32.759623250000004,102.323035,9,5,104,104
AL,2020-06-22 08:00:00,9,40,36.7056948949975,19.492020471882956,7.7867516667,32.625940250025,32.68444583335,32.7487913333,101.68679,9,5,110,110
AL,2020-06-22 09:00:00,9,42,35.24437991111666,20.091688187644227,5.8596966667,32.5978401667,32.6824825,32.776508000025004,101.571405,9,5,116,116
AL,2020-06-22 10:00:00,10,41,37.13603104878051,19.253956339768187,6.3732050000000005,32.6268876667,32.65226,32.753657000000004,102.347445,10,6,115,115
AL,2020-06-22 11:00:00,9,40,37.3587909833275,18.376029471188986,6.839543333300001,32.628221583325,32.68764483335,32.781111333300004,101.93344,9,5,112,112
AL,2020-06-22 12:00:00,8,38,38.54876121930789,17.80330290795104,16.72025,32.6386541667,32.698543,32.798332166674996,101.79715,8,6,105,105
AL,2020-06-22 13:00:00,10,40,35.443501658322496,19.771208999717818,5.105376000000001,32.620374333325,32.66098,32.7370188333,101.002275,10,6,112,112
