,,probe_id,avg,avg,avg,avg,avg,avg,avg,avg,src_addr,dst_addr,sent,received
,,nunique,count,mean,std,min,25%,50%,75%,max,nunique,nunique,sum,sum
country_code,timestamp,,,,,,,,,,,,,
-,2020-06-14 07:00:00,1,1,12.513,,12.513,12.513,12.513,12.513,12.513,1,1,1,1
AE,2020-06-14 00:00:00,10,286,100.60380888869089,83.11202338163334,5.0998,8.945523,133.01828633335,143.452710166675,266.963419,13,8,857,855
AE,2020-06-14 01:00:00,10,285,101.11289262339407,82.97361414712098,5.028725,8.743497,133.0038936667,143.3948326667,265.911944,13,8,855,853
AE,2020-06-14 02:00:00,9,286,100.50809131410308,83.15771571806896,5.1589026667,8.983008666675,133.01916616670002,143.387765000025,266.649474,12,8,857,855
AE,2020-06-14 03:00:00,10,287,99.50734391463628,83.41892120726978,5.174935,8.9709541667,132.987054,143.43849633335,266.3473373333,13,8,863,862
AE,2020-06-14 04:00:00,10,288,98.82877042245349,83.52435638728399,5.0880076667,8.944410583300002,133.02425816665,143.440792416675,266.2493366667,13,9,866,866
AE,2020-06-14 05:00:00,9,285,101.83623862199087,82.96197635198907,5.168695666700001,9.0366766667,133.057241,143.4536653333,265.79945699999996,12,9,857,853
AE,2020-06-14 06:00:00,9,285,102.05723114385901,82.69761278956635,5.1594873332999995,9.0121723333,133.0042943333,143.4744046667,266.09522200000004,12,8,852,846
AE,2020-06-14 07:00:00,10,287,102.78142171324251,82.48906752861194,5.209125,9.01754683335,133.014112,143.49874616670002,266.40312366669997,13,9,857,853
AE,2020-06-14 08:00:00,9,287,100.16181239825575,83.5607524105657,5.269971,9.002270500000002,133.0545603333,143.52707700000002,266.096136,12,10,864,861
AE,2020-06-14 09:00:00,10,287,102.45217313008327,82.6567467814163,5.171047,8.98769633335,133.0619406667,143.49823633335,266.379233,13,9,859,851
AE,2020-06-14 10:00:00,9,287,102.1655609059205,82.61396040867263,5.2441616667,9.013005,133.0416926667,143.491537,265.948758,12,10,862,857
AE,2020-06-14 11:00:00,9,284,102.02020012288834,83.13851989319474,5.1643183333,9.021018833325,133.10776149999998,143.53083008335,265.750544,12,8,847,842
AE,2020-06-14 12:00:00,10,290,100.02539683023001,83.39759987236413,5.2535883333,8.964999500024998,133.0332271667,143.542062999975,265.957428,13,11,877,877
AE,2020-06-14 13:00:00,10,288,101.8242213292831,82.88789410099965,5.152237,8.97543066665,133.31658783335,143.650080499975,265.995144,13,9,862,860
AE,2020-06-14 14:00:00,9,283,103.11507949057875,82.8818014007879,5.220847,9.02223766665,133.589296,143.63109383335,266.37131166669997,12,7,840,830
AE,2020-06-14 15:00:00,10,291,101.71151491328969,82.46856872118947,5.1562876667,9.0545145,134.0847843333,143.6415505,266.3403726667,13,12,877,869
AE,2020-06-14 16:00:00,10,287,100.12814712892124,83.60710748054312,5.1537633333,9.02191466665,134.054601,143.651114,266.289716,13,11,866,865
AE,2020-06-14 17:00:00,10,289,101.76420857127921,82.71472849150835,5.1833373333,9.051872999999999,134.0400783333,143.6320043333,266.09368866669996,13,10,866,864
AE,2020-06-14 18:00:00,9,287,101.78540443286724,82.83983970425747,5.162558,9.007602,134.1005396667,143.63933050000003,265.72525333330003,12,9,859,855
AE,2020-06-14 19:00:00,9,284,102.37551685915429,83.13012902984342,5.2136313332999995,9.0126891667,134.1051481667,143.673550083325,265.99980466669996,12,7,843,836
AE,2020-06-14 20:00:00,9,289,100.84994805686642,83.12495809693256,5.0907603332999996,8.961064333300001,134.0163143333,143.44818,265.77679466669997,12,10,868,865
AE,2020-06-14 21:00:00,9,282,102.9481183918407,83.05045685128096,5.205788,8.96359041665,131.8896625,142.84340749999998,266.29099633330003,12,7,837,833
AE,2020-06-14 22:00:00,10,285,102.9396273625755,82.887645008878,5.1491516667,8.9488973333,131.79521499999998,142.803665,265.69364133330004,13,8,856,848
AE,2020-06-14 23:00:00,10,287,101.81302649128949,82.92283564214961,5.13425,8.9577123333,131.8052966667,142.77401683335,266.1394863333,13,9,857,853
AL,2020-06-14 00:00:00,10,52,66.43926133333846,48.16889570206908,6.2470816667,32.665019666700005,32.750160666650004,136.48578750000001,137.44797666670001,10,4,144,144
AL,2020-06-14 01:00:00,9,52,64.6101001782096,47.386667451505964,6.5406966667,32.68772941665,32.8252621667,136.24450666670003,138.79021,9,5,146,146
AL,2020-06-14 02:00:00,9,53,69.30038376351696,49.115009185985485,15.832004999999999,32.680213333299996,32.838732666700004,136.4902233333,137.47172,9,5,149,149
AL,2020-06-14 03:00:00,9,52,66.94661188589808,47.62628590725373,15.794785000000001,32.679515000025,32.824604,136.320234166675,140.00331333329999,9,5,146,146
AL,2020-06-14 04:00:00,9,51,65.80017964574313,47.33945601478289,15.81144,32.6932015,32.774761,136.26979583335,145.6825716667,9,5,143,143
AL,2020-06-14 05:00:00,9,52,69.0828538333308,48.2551068817509,15.92213,32.679716250024995,32.79710733335,136.580995416675,137.5978116667,9,4,144,144
AL,2020-06-14 06:00:00,10,54,64.91886305925553,47.875061586991826,10.5849683333,32.64120058335,32.7374891667,136.43595458335,137.5627116667,10,6,154,154
AL,2020-06-14 07:00:00,9,52,66.46934942692499,47.935131235059075,12.585311,32.6733598333,32.769383833350005,136.27374791665,137.12685,9,6,150,150
AL,2020-06-14 08:00:00,10,52,65.69583866282309,48.660028549721076,12.507463000000001,32.684830500025,32.81741033335,136.52532625,158.41074,10,6,148,148
AL,2020-06-14 09:00:00,9,52,68.46422345384424,48.90262847242826,15.831729999999999,32.70165758335,32.80060683335,136.3872945833,147.56945,9,5,146,146
AL,2020-06-14 10:00:00,11,55,65.93230041817819,48.95651563688618,6.8283433333,32.6991533333,32.7711543333,136.46312166665,137.2014816667,11,5,153,153
AL,2020-06-14 11:00:00,10,53,66.03814096352454,47.6430599531688,12.752462,32.722208,32.8072416667,136.56172,137.1842116667,10,6,151,151
AL,2020-06-14 12:00:00,10,53,63.452414339624525,48.21734308319665,5.725408333300001,32.7057996667,32.8259943333,136.221675,137.5611,10,5,147,147
