,,probe_id,avg,avg,avg,avg,avg,avg,avg,avg,src_addr,dst_addr,sent,received
,,nunique,count,mean,std,min,25%,50%,75%,max,nunique,nunique,sum,sum
country_code,timestamp,,,,,,,,,,,,,
AE,2020-03-24 00:00:00,8,131,149.44204752799087,73.74429291611735,5.078516666700001,105.36059333335,144.7088966667,157.90771,262.293225,10,5,396,394
AE,2020-03-24 01:00:00,7,130,150.23125871025692,72.89581725428482,5.026795,105.67336708330001,144.69404516665,158.834401666675,261.886219,9,5,389,388
AE,2020-03-24 02:00:00,8,131,147.93596864249622,74.82177397541702,5.0055266667,105.35324666665,144.6662956667,158.350915,261.8309233333,10,6,392,391
AE,2020-03-24 03:00:00,8,132,149.01545107449465,73.95759947375598,5.0220616667,105.57350041667502,144.7117605,158.963002499975,262.2587633333,10,5,395,394
AE,2020-03-24 04:00:00,7,132,146.22595945833723,76.56329255022834,5.00504,105.32824500002499,144.7488945,158.308222083325,262.43592966669996,9,4,394,392
AE,2020-03-24 05:00:00,8,131,146.9566325127199,77.04010122753236,5.02526,105.56416666665001,144.7237923333,156.58951833335,262.595419,10,5,390,388
AE,2020-03-24 06:00:00,8,132,149.26249465782644,74.33454957424024,5.0468133333,105.81429791665,144.7716113333,157.29225416665,262.9089266667,10,5,389,388
AE,2020-03-24 07:00:00,7,131,151.05575318066107,72.94941373538833,5.0132083333,112.20780333335,144.8352953333,158.4298825,262.3415523333,9,5,388,380
AE,2020-03-24 08:00:00,8,132,148.77291921464771,74.45994690122046,5.03111,105.66238999997499,144.88155866665,158.9901675,262.15370966669997,10,5,393,391
AE,2020-03-24 09:00:00,7,133,147.58488187844657,74.82277658312394,5.0721366667000005,105.2545433333,144.8927516667,158.8723866667,262.09949566669997,9,4,396,396
AE,2020-03-24 10:00:00,8,132,150.54488250630982,72.50069496173938,5.1273,107.29716604167501,144.816049,159.2025708333,262.1623196667,10,6,397,393
AE,2020-03-24 11:00:00,7,133,146.05490291228037,76.6002090875146,5.0587333333,105.3322966667,144.851125,158.9804666667,262.283547,9,4,397,394
AE,2020-03-24 12:00:00,7,132,143.02976363131214,80.4402386116889,5.0335716667,105.01239333334999,144.862887,158.2937825,262.460453,9,5,398,397
AE,2020-03-24 13:00:00,8,130,149.28686466794846,75.02427033516659,5.033345,106.08982333329999,144.92152016665,157.583544166675,262.0540116667,10,6,388,385
AE,2020-03-24 14:00:00,7,131,144.04843105597928,79.58685589110333,5.0582316667,105.11558083335001,144.954879,157.9902408333,262.5134453333,9,4,393,393
AE,2020-03-24 15:00:00,8,132,141.76897467928939,82.16332015727096,5.0017983333,104.924980833325,144.99196666665,160.01130583334998,262.8743013333,10,5,398,398
AE,2020-03-24 16:00:00,8,131,142.3553296386794,82.17039705276197,5.0315449999999995,104.99135749999999,145.0026793333,160.88322833335,262.075989,10,5,395,395
AE,2020-03-24 17:00:00,8,132,141.3438483924264,82.65546921748795,5.15223,105.118239166675,145.25743783335,162.4640666667,262.49614533330003,10,7,402,402
AE,2020-03-24 18:00:00,7,131,142.69036896310377,81.71995407251597,5.099855000000001,105.31176833335,144.976214,161.17405666669998,262.0799083333,9,5,395,394
AE,2020-03-24 19:00:00,8,135,139.1908070123437,83.0592223915261,5.1259333333,104.93920416665,144.9053423333,157.92062583335002,262.0222166667,10,5,405,404
AE,2020-03-24 20:00:00,9,141,135.02892065839364,83.26514777690922,5.0462166667,104.7255033333,144.6792213333,155.2164116667,261.720183,11,5,399,398
AE,2020-03-24 21:00:00,9,134,143.33891628731493,78.82309410450006,5.0683933332999995,105.104648750025,144.68777683335,157.199207499975,262.14933533330003,11,6,399,399
AE,2020-03-24 22:00:00,7,133,139.39153072707143,83.12570757055943,5.002955,104.962755,144.65746000000001,157.2768533333,261.89538366669996,9,6,402,402
AE,2020-03-24 23:00:00,7,128,147.413779848957,78.44570944461006,5.030405,105.70031249997498,144.75828616665,158.534970000025,262.23100666669995,9,5,384,380
AL,2020-03-24 00:00:00,10,54,28.398359635803704,20.882720548255392,6.2280966667,7.30039333335,32.2298655,32.295074333325005,98.760665,10,6,154,154
AL,2020-03-24 01:00:00,10,53,29.409004786162264,20.786343347371524,7.188726666699999,7.394645,32.2035516667,32.2739173333,101.80129000000001,10,6,151,151
AL,2020-03-24 02:00:00,12,54,28.552763216046284,20.76638294656875,7.17317,7.465480833300001,32.192717333350004,32.298896416649995,98.48942,12,5,150,150
AL,2020-03-24 03:00:00,11,55,28.6588004715109,20.7488901036852,6.926889999999999,7.33134,32.204335666700004,32.2409113333,100.71587,11,6,155,155
AL,2020-03-24 04:00:00,9,52,29.786026267948078,20.845594522811346,7.1889133333,7.504689166674999,32.2024475,32.294492249975,100.636715,9,5,146,146
AL,2020-03-24 05:00:00,10,53,29.4528661132132,20.763306196134838,7.21948,7.3264,32.205137666700004,32.271051,100.6716,10,6,151,151
AL,2020-03-24 06:00:00,10,55,28.62413831030182,20.880476577373745,6.3337516667,7.27880416665,32.1952213333,32.2833846667,100.2462,10,5,157,157
AL,2020-03-24 07:00:00,10,53,28.823791849052828,20.99473139519509,6.6834433333000005,7.29785,32.213615000000004,32.291334,100.09879000000001,10,4,147,147
AL,2020-03-24 08:00:00,12,55,28.37245020606183,20.66900022176189,5.863251666699999,7.471178333349999,32.2252013333,32.28189733335,99.28019499999999,12,5,153,153
AL,2020-03-24 09:00:00,10,54,29.12449093827408,20.59203157367056,5.0721666667,8.033815416674999,32.210228166700006,32.288099750025005,99.12315500000001,10,5,152,152
AL,2020-03-24 10:00:00,10,53,29.22008654716793,20.815949486579697,5.4993083333,7.7378833333,32.229501,32.297551,99.702235,10,4,147,147
AL,2020-03-24 11:00:00,11,60,27.679878121115006,20.51430385276254,5.0134283333,7.778370000025,32.22317383335,32.3224476667,99.56541,11,6,172,170
AL,2020-03-24 12:00:00,10,54,28.609988435174074,20.90460383763317,5.0000483333,7.40585291665,32.2572298333,32.367044416649996,100.142655,10,4,150,149
