,,probe_id,avg,avg,avg,avg,avg,avg,avg,avg,src_addr,dst_addr,sent,received
,,nunique,count,mean,std,min,25%,50%,75%,max,nunique,nunique,sum,sum
country_code,timestamp,,,,,,,,,,,,,
AE,2020-06-13 00:00:00,9,287,101.5669531364711,82.92411100478583,5.0258,8.9382235,133.0026583333,143.4054331667,265.70901299999997,12,9,857,847
AE,2020-06-13 01:00:00,10,287,100.58262190499508,83.05245001526437,5.1653776667,8.9286371667,133.0263976667,143.3777246667,265.6234366667,13,9,862,858
AE,2020-06-13 02:00:00,10,288,100.71231182893436,82.70734543751388,5.0787,8.923506833325,133.0021771667,143.39886541665,265.53402400000004,13,10,870,869
AE,2020-06-13 03:00:00,9,286,100.15327496270523,83.10198668133947,5.0761133332999995,8.977560416675,133.006989,143.41253083335,267.174317,12,7,855,852
AE,2020-06-13 04:00:00,10,288,99.30114561921205,83.3888999117121,5.1820753333,8.95146608335,133.00641966665,143.43413933335,265.5871446667,13,10,865,864
AE,2020-06-13 05:00:00,10,287,101.47450544308788,82.87737133465146,5.05624,8.933978499999998,132.9969493333,143.43341316664998,265.5722256667,13,9,860,855
AE,2020-06-13 06:00:00,9,286,101.94503257808633,82.85526161298796,5.04566,9.01223908335,133.02114749999998,143.478889,266.12006133330004,12,8,851,851
AE,2020-06-13 07:00:00,10,287,101.86091462799234,82.75196521656713,5.1412066667000005,8.97865583335,133.0590346667,143.49543166665,265.698548,13,10,860,859
AE,2020-06-13 08:00:00,9,287,102.15347040627141,82.8225286069655,5.1669566667,9.078631000000001,133.1254096667,143.4689445,266.059865,12,9,857,850
AE,2020-06-13 09:00:00,9,288,101.8650416962958,82.85464371369157,5.13203,9.0609306667,133.0588871667,143.44009808335,265.894423,12,10,863,856
AE,2020-06-13 10:00:00,10,287,101.6654256475021,83.01698518357827,5.1748416667,8.9851771667,133.0368743333,143.506719,265.9970733333,13,9,856,849
AE,2020-06-13 11:00:00,9,285,102.79484875146136,82.74104605930869,5.127944,9.0159973333,133.0750733333,143.4980046667,265.466654,12,8,849,841
AE,2020-06-13 12:00:00,10,290,100.72269310701103,83.07546049882627,5.166096666700001,8.984644916675002,133.04431599999998,143.484721,266.304145,13,9,872,865
AE,2020-06-13 13:00:00,10,286,102.47352673076853,82.79473597589576,5.2036983333,8.9980370833,133.0434543333,143.469028249975,266.2731273333,13,9,851,844
AE,2020-06-13 14:00:00,10,288,101.91841456562501,82.54968402476024,5.190646,8.9946140833,133.11909816665,143.46209741665,265.7354116667,13,9,864,862
AE,2020-06-13 15:00:00,10,288,102.11395402870271,82.69670978841377,5.13065,9.019694499975,133.07721583335,143.48264041664999,266.250998,13,9,867,866
AE,2020-06-13 16:00:00,9,290,100.4737457759751,83.32434901546799,5.08223,8.989887749975,133.0958141667,143.5288770833,266.12377999999995,12,10,874,869
AE,2020-06-13 17:00:00,10,289,101.60821949238685,82.76127878566278,5.075547,9.008200666699999,133.134734,143.590476,266.005548,13,9,867,866
AE,2020-06-13 18:00:00,10,287,102.48893783856239,82.6434551610035,5.1241083333,9.0104415,133.104673,143.5171755,265.6860736667,13,9,856,848
AE,2020-06-13 19:00:00,9,287,101.91448620046619,82.85908600681526,5.0794776667,9.00329783335,133.1383013333,143.4889265,266.3262316667,12,10,862,855
AE,2020-06-13 20:00:00,9,286,101.15141283881326,83.2267057483583,5.1623066667,8.997080500025,133.11837466665,143.485034249975,266.60163866669996,12,8,853,851
AE,2020-06-13 21:00:00,10,282,102.4150726459805,83.18570936191296,5.16108,8.9215773333,133.12569050000002,143.5206463333,265.79010266669997,13,8,839,835
AE,2020-06-13 22:00:00,10,288,102.76689332638956,82.80125303275076,5.118813333299999,8.98500733335,133.01105833334998,143.458605500025,266.639711,13,9,859,853
AE,2020-06-13 23:00:00,10,286,101.83253469930179,82.70588346609277,5.037780000000001,8.908634000025,133.01313033335,143.4118896667,266.8184073333,13,8,857,856
AL,2020-06-13 00:00:00,8,36,46.35592336110834,41.10821634894251,15.845289999999999,32.686662500025,32.7193295,32.76359733335,204.31716,8,4,96,96
AL,2020-06-13 01:00:00,8,39,40.251264529910245,29.29387284655974,7.78338,32.66271166665,32.701397666700004,32.77335466665,152.28892,8,5,107,107
AL,2020-06-13 02:00:00,9,37,37.89579994595135,19.538883541145974,7.3803416667,32.6761696667,32.732514,32.840403,105.21497,9,4,99,99
AL,2020-06-13 03:00:00,8,37,52.809829796394595,57.45006062584235,15.877015,32.6652706667,32.7077673333,32.7580593333,242.2626,8,5,101,101
AL,2020-06-13 04:00:00,10,38,52.45450344737369,59.724274723758995,12.636602,32.64834641670001,32.7208055,32.830180499975,262.908745,10,5,104,104
AL,2020-06-13 05:00:00,7,35,44.11952132381143,41.742611477213615,15.89875,32.69459866665,32.7328833333,32.82661566665,215.32468500000002,7,4,95,95
AL,2020-06-13 06:00:00,8,36,43.49941548148056,35.4575368034055,15.815179999999998,32.683396166675,32.72212866665,32.818247500025,204.38530500000002,8,4,96,96
AL,2020-06-13 07:00:00,8,36,45.456091342586106,44.5729282288473,15.775960000000001,32.667890749975,32.72451066665,32.777092333325,281.043512,8,4,96,96
AL,2020-06-13 08:00:00,9,38,43.63601055613422,34.061436512245514,12.588639,32.670949833325004,32.721923833350004,32.79106991665,190.70211799999998,9,6,106,106
AL,2020-06-13 09:00:00,8,36,41.632644851847225,31.829654950189504,15.9106,32.6966655833,32.736200499999995,32.880776333325,202.138665,8,4,96,96
AL,2020-06-13 10:00:00,9,39,40.805210487182045,41.04223108761066,8.14899,32.67691233335,32.7256976667,32.8013765,269.60654,9,5,107,107
AL,2020-06-13 11:00:00,9,39,43.23347683418717,44.01539712535149,6.1956033333,32.68452883335,32.7273573333,32.79770633335001,254.79261,9,6,109,109
AL,2020-06-13 12:00:00,8,36,40.896122009258335,39.05815646535915,5.023045,32.71221583329999,32.741008333349995,32.803039499975,251.56132000000002,8,4,98,98
AL,2020-06-13 13:00:00,6,40,50.5033654583275,39.91284441624156,8.536864999999999,32.70247058335001,32.75026033335,32.952653083324996,139.1701033333,6,4,114,114
