,,probe_id,avg,avg,avg,avg,avg,avg,avg,avg,src_addr,dst_addr,sent,received
,,nunique,count,mean,std,min,25%,50%,75%,max,nunique,nunique,sum,sum
country_code,timestamp,,,,,,,,,,,,,
AE,2020-04-09 00:00:00,8,133,87.39047414285788,100.99979965809982,5.015435,11.803398,24.1928266667,128.1361325,261.7389646667,10,6,401,399
AE,2020-04-09 01:00:00,7,135,83.89450646469037,100.45594045474735,5.0201616667,11.7853338333,21.945625,105.38427250000001,261.86095366669997,9,7,411,411
AE,2020-04-09 02:00:00,8,134,85.88148879402759,100.32635072529682,5.039675,11.765301666649998,23.591390833349998,105.97314041665,262.9271243333,10,6,407,407
AE,2020-04-09 03:00:00,7,133,83.58703784811732,101.16835673895541,5.039171666700001,11.814630666700001,22.134551666700002,105.6215633333,262.4293396667,9,5,401,401
AE,2020-04-09 04:00:00,8,127,90.55280701181255,101.38268738586497,5.0532166667,12.237331833299999,24.6356966667,117.17692083335001,262.3381983333,10,5,379,378
AE,2020-04-09 05:00:00,8,136,84.3968168274515,100.33900443805639,5.0377066667,11.83808666665,23.385593333350002,109.497533125,263.1879056667,10,6,411,408
AE,2020-04-09 06:00:00,7,132,89.1392704318189,100.32771195364057,5.023969999999999,12.096892249975,24.6827641667,114.79526749997501,263.27995933330004,9,5,397,395
AE,2020-04-09 07:00:00,7,129,90.38204709043804,101.48942309991222,5.064725,12.149913,24.534086666700002,127.48803500000001,262.01176,9,5,386,386
AE,2020-04-09 08:00:00,8,136,88.71734873406685,100.06390573986057,5.034435,12.32083775,24.02572416665,125.53205625,262.6842236667,10,6,411,408
AE,2020-04-09 09:00:00,7,131,89.30673501323282,100.73609439273699,5.041843,13.140998333350002,23.909881666700002,122.14675874999999,262.65259833330003,9,7,396,396
AE,2020-04-09 10:00:00,7,132,91.27912098484622,99.96670888601787,5.1174733332999995,12.764143416649999,23.87312,123.51483812499998,261.8398296667,9,5,396,388
AE,2020-04-09 11:00:00,7,133,88.01120817919927,100.30329687175555,5.0298716667,12.815954,23.731011666700002,126.6088283333,261.5777186667,9,4,396,392
AE,2020-04-09 12:00:00,7,132,88.96072990656741,99.86988687866392,5.144315,13.003384333325,24.67959333335,117.915875,261.186788,9,5,392,392
AE,2020-04-09 13:00:00,7,134,89.85486914403134,99.58909084773587,5.1362916667,12.972281916700002,24.17443416665,124.26432125,261.0408263333,9,5,400,397
AE,2020-04-09 14:00:00,7,132,89.55811571338562,99.9160394854472,5.0496133333,13.16923333335,24.3981391667,121.59195624999998,261.0790046667,9,4,391,390
AE,2020-04-09 15:00:00,7,134,88.3752576052216,97.71321455476635,5.0142433333,14.276123166700001,36.4088853333,103.967426249975,261.35252333330004,9,5,402,401
AE,2020-04-09 16:00:00,7,132,95.67327816186892,95.54128758570435,5.1287533333,20.174708666700003,45.776828,118.67436687497501,261.176874,9,5,394,392
AE,2020-04-09 17:00:00,7,131,101.65722289313055,92.53038532056102,5.0005066667,27.14863616665,74.5000316667,114.5200475,260.82135066669997,9,5,394,393
AE,2020-04-09 18:00:00,8,135,90.65246928271634,97.09837676263048,5.0187033332999995,15.314816,35.7890213333,109.1451708333,260.79432833330003,10,6,409,409
AE,2020-04-09 19:00:00,7,131,86.06737669491146,100.50096244530614,5.025463333299999,13.5750966667,25.29451,106.33769791665,261.703377,9,5,393,392
AE,2020-04-09 20:00:00,7,132,86.03825438383558,100.58125296977872,5.0185583333,12.467144750025,22.9797425,104.45523,260.982555,9,5,396,395
AE,2020-04-09 21:00:00,7,132,87.84970274494923,100.37907165594393,5.0288283333,12.070716583349999,24.61366083335,122.26378125002499,261.5584043333,9,5,395,394
AE,2020-04-09 22:00:00,7,122,93.47128462431557,101.9848263034997,5.2978633333,11.701752999975,25.017919999999997,124.186008125,261.4702976667,9,5,364,363
AE,2020-04-09 23:00:00,7,124,91.71562105672339,101.94919609850248,5.105323333299999,11.36196291665,23.9982583333,128.979113125,261.16110733330004,9,6,374,369
AL,2020-04-09 00:00:00,9,53,62.682612683652835,40.805468727822294,7.220205,7.36635,79.78444300000001,91.0450036667,148.60193999999998,9,7,154,153
AL,2020-04-09 01:00:00,8,52,34.456890948715376,25.995805037475353,7.1921066667,7.339132499975,30.565848833349996,51.573059750025,108.04288500000001,8,5,148,148
AL,2020-04-09 02:00:00,11,54,27.870719030861103,22.173334490014284,5.51973,7.355748749975,30.444206,30.51267775,107.88743000000001,11,4,148,148
AL,2020-04-09 03:00:00,10,54,29.73991210123333,22.239127981359704,7.196103333300001,7.331126666674999,32.169593,34.579721750025,109.722305,10,6,154,154
AL,2020-04-09 04:00:00,10,54,28.785534845683333,22.355750714643012,5.400011666699999,7.3367362499999995,32.214957,32.294613500024994,107.84383999999999,10,4,150,150
AL,2020-04-09 05:00:00,11,57,30.1583747193,21.73673750915256,7.200538333300001,7.4162166667,32.1838396667,32.278977000000005,108.03499,11,6,163,163
AL,2020-04-09 06:00:00,10,66,27.475812065646963,22.26081755062751,5.3325183332999995,7.306313749975001,32.196675166649996,32.27908341665,107.35471499999998,10,6,190,190
AL,2020-04-09 07:00:00,11,68,31.113457549022066,22.412383955901408,7.153598333300001,13.003260416675,32.2102043333,32.383543666675,107.14975,11,6,193,192
AL,2020-04-09 08:00:00,11,72,36.69857667245417,27.757862785263914,7.222251666699999,17.280411500025,32.225377666650004,35.095405,109.83549,11,10,204,200
AL,2020-04-09 09:00:00,10,68,37.43049974999999,28.291172232325447,7.192464999999999,28.814332500025,32.2494955,35.625853166675,122.6796016667,10,6,195,194
AL,2020-04-09 10:00:00,11,67,39.9661847512418,34.14488794869437,7.2241100000000005,25.43517416665,32.254312,39.3944425,165.252625,11,5,190,190
AL,2020-04-09 11:00:00,10,66,39.06667632323181,34.22524434337178,7.1570916666999995,14.118325833325,32.25626366665,33.347298499999994,179.657195,10,4,181,179
AL,2020-04-09 12:00:00,11,70,28.976813523814283,20.950405066246905,5.3159466667,11.584211249974999,32.2009731667,32.3650366667,108.24923999999999,11,7,195,195
