,,probe_id,avg,avg,avg,avg,avg,avg,avg,avg,src_addr,dst_addr,sent,received
,,nunique,count,mean,std,min,25%,50%,75%,max,nunique,nunique,sum,sum
country_code,timestamp,,,,,,,,,,,,,
AE,2020-03-25 00:00:00,8,133,149.27312788972782,73.62961414715447,5.01808,114.975505,144.68854299999998,157.3302133333,261.91859166669997,10,5,392,380
AE,2020-03-25 01:00:00,7,131,145.60874510178255,77.2959077077743,5.065166666700001,105.4011375,144.671449,156.56919,262.71547400000003,9,4,393,393
AE,2020-03-25 02:00:00,7,133,142.3570615238113,79.67529939524506,5.0304083333,104.9240766667,144.682509,156.6806083333,261.8422713333,9,5,401,401
AE,2020-03-25 03:00:00,8,133,150.775717423809,78.06575928002907,5.0047983333,114.14145,144.7720196667,158.967675,382.9097266667,10,6,394,391
AE,2020-03-25 04:00:00,8,133,146.53214759273752,80.15073071370816,5.060435,105.0488,144.7776393333,159.82891999999998,350.18931499999997,10,6,400,397
AE,2020-03-25 05:00:00,8,131,149.47863985750374,73.45766171915066,5.084219999999999,105.1723475,144.7855633333,158.74959333335,262.448625,10,5,394,393
AE,2020-03-25 06:00:00,7,131,146.7856428549633,76.44860615319597,5.049045,105.2188891667,144.8263803333,159.06724333335,261.7172396667,9,5,394,394
AE,2020-03-25 07:00:00,7,132,147.30418038384016,75.85274540901712,5.0103083333,105.40543291665,144.8622608333,159.7794216667,262.32435833330004,9,5,393,390
AE,2020-03-25 08:00:00,8,133,148.35308167418194,75.19234682645042,5.0472633333,107.3492816667,145.0660633333,157.8457966667,261.9722893333,10,6,393,388
AE,2020-03-25 09:00:00,7,133,147.32741291604287,74.98744420371277,5.1268416667,105.20371499999999,144.8904616667,159.1743233333,262.5728536667,9,5,399,398
AE,2020-03-25 10:00:00,7,132,141.71478884343261,81.58982759002417,5.0304883333,105.029759999975,144.9137955,160.588755000025,262.2801263333,9,5,398,398
AE,2020-03-25 11:00:00,7,131,141.15203645546947,83.19423002512512,5.16182,105.0635225,144.9555276667,160.3622775,262.5969606667,9,4,393,393
AE,2020-03-25 12:00:00,7,130,142.03554463333694,82.74838008519752,5.1250516667,105.13961166665,144.9867273333,160.749658750025,261.93919666669996,9,5,392,392
AE,2020-03-25 13:00:00,7,132,140.72024767045755,82.9021877580998,5.0254766667,105.06183999997499,144.969821,158.88099375002503,261.9181396667,9,5,396,396
AE,2020-03-25 14:00:00,7,126,150.699365152119,75.75916758284838,5.021638333299999,108.04614874997499,145.07664783335002,162.521902499975,261.9912293333,9,5,375,373
AE,2020-03-25 15:00:00,7,132,149.97991338762725,73.82503051393189,5.0559633333,111.97248499997501,145.1081643333,161.4514354167,262.3812123333,9,4,393,390
AE,2020-03-25 16:00:00,7,130,148.80571468974534,75.27801436976726,5.1051150000000005,105.15820875,145.35142783335,163.081199999975,262.113809,9,4,390,390
AE,2020-03-25 17:00:00,7,133,139.88417055188194,83.03725559478167,5.03799,104.8330333333,144.7811813333,158.1143266667,262.69312333330004,9,5,401,401
AE,2020-03-25 18:00:00,8,130,147.95702808820383,77.22062356896507,5.0770266667,108.673417499975,144.7806833333,159.41071583335,262.42366833330004,10,6,391,388
AE,2020-03-25 19:00:00,7,134,148.9888723584589,74.69554787200919,5.0190033333,129.30861124999998,144.81325266665,158.237270833325,262.2430783333,9,6,394,385
AE,2020-03-25 20:00:00,7,133,149.1529233661616,74.1561619343243,5.050335,114.75741000000001,144.6951966667,156.5694733333,262.198451,9,5,397,393
AE,2020-03-25 21:00:00,8,132,150.64441857449245,72.20261445412869,5.054875,106.76093125,144.66429,158.39681416665,261.9341816667,10,6,393,393
AE,2020-03-25 22:00:00,7,132,146.53613728282423,76.1883815492474,5.0062666667,105.2292733333,144.68467483335002,157.7807808333,262.477244,9,4,393,393
AE,2020-03-25 23:00:00,7,134,138.68762293283734,83.40442659730485,5.0349833333,104.78072291667499,144.65198600000002,158.035848749975,262.02653599999996,9,5,404,404
AL,2020-03-25 00:00:00,10,55,29.04785058909637,20.041901440847845,6.681773333300001,7.26564166665,32.268140333299996,32.34935383335,99.60661999999999,10,6,157,157
AL,2020-03-25 01:00:00,9,52,28.115161038457682,19.85187049955109,7.172886666699999,7.3049308333,32.20765033335,32.274660666675004,90.002835,9,5,145,145
AL,2020-03-25 02:00:00,9,52,29.625781108975005,20.189269003680263,7.187335000000001,7.36732541665,32.252193833350006,32.30928458335,99.70133,9,5,146,146
AL,2020-03-25 03:00:00,14,58,28.24377891953449,20.29975836687009,5.737125,7.3059045833,32.247663,32.36830008335001,100.144705,14,8,152,152
AL,2020-03-25 04:00:00,13,68,26.33014161666617,19.83953723735352,5.53008,7.2666550000250005,32.2108908333,32.291968166675005,100.715885,13,9,168,168
AL,2020-03-25 05:00:00,12,57,28.092687209357898,20.25110145677923,5.71151,7.319796666699999,32.233389333299996,32.3113943333,100.654395,12,7,151,151
AL,2020-03-25 06:00:00,10,53,29.713236137107543,22.160836454613502,6.7051766667,7.331156666699999,32.2699523333,32.3666953333,124.382645,10,5,149,149
AL,2020-03-25 07:00:00,11,53,28.867944012577357,20.180004573708874,7.1792433333000005,7.3141300000000005,32.2387466667,32.30858,100.141665,11,5,149,149
AL,2020-03-25 08:00:00,10,54,29.66951415432408,23.852940510428766,5.1934866667,7.445957500024999,32.23188066665,32.350235916675,135.46733500000002,10,4,150,150
AL,2020-03-25 09:00:00,10,53,29.1631579044,20.184462175485915,5.9004883333,7.5106649999999995,32.263460333299996,32.3661253333,99.33794,10,5,149,149
AL,2020-03-25 10:00:00,11,57,28.341285741521062,20.406509162214217,5.4217633333,7.644468333300001,32.2656223333,32.3341463333,106.521525,11,6,163,163
AL,2020-03-25 11:00:00,11,55,28.47349609090727,20.15371738581005,5.0968599999999995,7.65669,32.269401,32.34946666665,99.01699,11,6,157,157
AL,2020-03-25 12:00:00,10,55,28.034203424243632,21.626399392322437,5.3205366667,7.333145,32.2884686667,32.367538333300004,115.90326499999999,10,4,153,153
