,,probe_id,avg,avg,avg,avg,avg,avg,avg,avg,src_addr,dst_addr,sent,received
,,nunique,count,mean,std,min,25%,50%,75%,max,nunique,nunique,sum,sum
country_code,timestamp,,,,,,,,,,,,,
AE,2020-03-21 00:00:00,7,149,128.93060175167716,86.17762811651579,5.0551183333,50.75396,144.8281336667,155.49397,264.047749,9,5,449,447
AE,2020-03-21 01:00:00,7,153,126.07102032243789,86.95143060486573,5.0538833333,31.597195000000003,138.4619216667,153.6903366667,263.2982023333,9,7,464,463
AE,2020-03-21 02:00:00,7,149,127.37681926174093,87.36056316319929,5.1023083333,45.7611716667,144.8602853333,154.1476866667,264.0106196667,9,4,447,447
AE,2020-03-21 03:00:00,8,148,127.51573292792774,87.83560922863253,5.024185,35.866400000025,144.91302833330002,154.746441249975,263.1992226667,10,6,448,448
AE,2020-03-21 04:00:00,8,138,139.55970755918617,81.12803230549127,5.0615566667000005,104.925373750025,144.96828183334998,155.526505833325,263.555637,10,6,418,417
AE,2020-03-21 05:00:00,6,120,160.6024589638916,65.79897493341079,13.9099833333,133.508405000025,145.15443083335,183.842731833325,263.76155666669996,8,4,360,360
AE,2020-03-21 06:00:00,7,122,160.98805941120492,63.76155303346704,5.284301,113.65849375,145.1390756667,158.01875833335,263.4532673333,9,6,367,366
AE,2020-03-21 07:00:00,7,122,162.81641937568693,61.84341097975462,5.747726999999999,126.54978687500002,145.25635283334998,157.27767041664998,263.42846833330003,9,6,366,364
AE,2020-03-21 08:00:00,6,120,163.36254278333664,62.2407218661339,14.031065,134.2630475,145.26966983335,184.56246399997497,263.3607513333,8,4,356,351
AE,2020-03-21 09:00:00,8,123,159.6402193685667,65.61466409134415,5.0679383333,117.0946575,145.256073,157.99638833335,263.4120456667,10,6,366,362
AE,2020-03-21 10:00:00,7,121,165.21564031129344,59.66456224793277,5.0637166667,130.200335,145.3488546667,160.21858,263.5193516667,9,4,356,350
AE,2020-03-21 11:00:00,7,122,162.7132067882491,62.30953940686057,5.018495,127.59377625,145.303002,160.3313695833,264.461133,9,4,361,356
AE,2020-03-21 12:00:00,8,124,159.4864053037645,66.40244840314132,5.2698483333,121.86582541667501,145.36347683335,158.34714416665,263.5584476667,10,6,367,363
AE,2020-03-21 13:00:00,8,124,158.32966578252825,67.4255750928892,5.024205,121.449111875025,145.348654,158.116102083325,263.42861600000003,10,7,372,368
AE,2020-03-21 14:00:00,7,123,160.76481207723486,64.15115601254631,5.0033816667,116.6295825,145.5347943333,159.8845841667,263.33491933330004,9,5,367,360
AE,2020-03-21 15:00:00,6,120,163.41558469305582,62.67382737314675,14.0225983333,136.22609,145.45388566665,187.68840991667503,263.873894,8,4,355,352
AE,2020-03-21 16:00:00,7,121,159.26273768595127,67.78714407754644,5.397786666699999,127.25103,145.3707966667,159.9101616667,263.7405666667,9,4,363,362
AE,2020-03-21 17:00:00,8,122,155.18546418169498,73.5243250979553,5.0203983333,111.17988562502501,146.14904983335,159.55186083335002,263.770306,10,6,370,369
AE,2020-03-21 18:00:00,8,122,151.59313655737787,77.79039370043499,5.1481316667,105.70343374997499,145.66130266665,160.3921016667,263.15542366669996,10,5,368,368
AE,2020-03-21 19:00:00,6,122,154.88696368305904,73.41876430192748,7.684933999999999,121.55567374997501,145.4311958333,158.16435083335,263.69543799999997,8,6,369,369
AE,2020-03-21 20:00:00,8,121,158.8646000027562,69.42551775716211,5.0412566667,129.88326,145.2265983333,159.08282,263.411278,10,6,362,356
AE,2020-03-21 21:00:00,7,123,158.76396979539345,67.01632938202407,5.038865,129.14514833335,145.1530136667,157.516795,263.32964166669996,9,5,370,368
AE,2020-03-21 22:00:00,6,120,163.1333211152766,61.6264855461058,49.021188333299996,131.995935625025,145.0599641667,187.680131000025,263.786932,8,4,359,358
AE,2020-03-21 23:00:00,6,120,161.96451821388746,63.148598614081,40.264825,132.4739775,145.17428666665,184.37721391667498,262.96865,8,4,354,352
AL,2020-03-21 00:00:00,11,53,29.5571637484264,20.900769670368618,6.4250733333,7.306080000000001,34.680825,34.7390493333,98.761045,11,5,149,149
AL,2020-03-21 01:00:00,10,52,30.066527891019234,20.990002498626147,7.1791616667,7.38222291665,34.697242833299995,34.75584208335,98.61969,10,5,146,146
AL,2020-03-21 02:00:00,9,51,30.38109517647059,20.967026775626163,7.152895,7.27327666665,34.71138,34.7963391667,99.51235,9,4,141,141
AL,2020-03-21 03:00:00,9,52,30.554825312819236,20.86861620816789,7.1877516667,7.28352041665,34.6821213333,34.753559416650006,99.039845,9,5,146,146
AL,2020-03-21 04:00:00,9,52,30.56473920640769,20.76707409987875,7.1461033333,7.3078958333,34.693388166649996,34.79707833335,99.273735,9,5,146,146
AL,2020-03-21 05:00:00,11,54,29.751785203699985,20.91649390895472,5.21686,7.297905833325,34.6782995,34.739290249999996,99.3344,11,6,152,152
AL,2020-03-21 06:00:00,9,53,31.294628164784896,20.600861859520315,7.164689999999999,7.3583683333000005,34.6995136667,34.821824,99.96032,9,6,151,151
AL,2020-03-21 07:00:00,9,51,30.95804157517058,21.004327973800613,7.1863633333,7.316735,34.7108503333,34.7969446667,100.206325,9,4,141,141
AL,2020-03-21 08:00:00,10,54,31.012226464196303,20.590725716569843,7.185738333300001,8.628110416675,34.719459,34.783208416675,99.85636,10,7,156,156
AL,2020-03-21 09:00:00,10,52,30.597038641028842,20.952517737533494,7.1987533333,7.344838333325,34.7116431667,34.7722529167,98.58061500000001,10,5,146,146
AL,2020-03-21 10:00:00,9,52,30.566395096157695,21.118961894876318,6.9332633333,7.326802916699999,34.70058,34.773982250025,99.598935,9,4,144,144
AL,2020-03-21 11:00:00,9,53,30.7070589478,20.766638369188453,7.1625316667,7.4409125,34.727222,34.8194453333,98.859245,9,5,148,148
AL,2020-03-21 12:00:00,10,54,29.83016624074075,20.91108121013599,6.039905,7.323328333349999,34.709677166700004,34.76802991665,99.57916999999999,10,6,154,154
AL,2020-03-21 13:00:00,9,51,30.99832035948039,21.044310553583756,7.172573333300001,7.3859991666500004,34.736191999999996,34.789131166649994,99.885,9,4,141,141
