,,probe_id,avg,avg,avg,avg,avg,avg,avg,avg,src_addr,dst_addr,sent,received
,,nunique,count,mean,std,min,25%,50%,75%,max,nunique,nunique,sum,sum
country_code,timestamp,,,,,,,,,,,,,
AE,2020-06-06 00:00:00,10,290,98.515243198849,83.8390645129722,5.1660686667,9.0800634167,133.46304333335002,142.487428916675,271.0250013333,13,9,876,875
AE,2020-06-06 01:00:00,10,289,99.1270366284886,83.55858779162587,5.1637816667,9.092545,133.518945,142.5334776667,271.2561386667,13,10,874,874
AE,2020-06-06 02:00:00,9,287,99.13254739047498,83.94129413291044,5.1637216667,9.17135491665,133.4260883333,142.51467016665,270.67313133330003,12,9,863,862
AE,2020-06-06 03:00:00,9,289,98.37615587935261,83.89666027304351,5.2644150000000005,9.1313166667,133.477455,142.5491456667,270.44493,12,10,875,874
AE,2020-06-06 04:00:00,9,289,98.05774648535363,84.00342757135161,5.182435,9.1225206667,133.375865,142.5492643333,270.84192866669997,12,9,875,875
AE,2020-06-06 05:00:00,9,286,101.08561619475313,83.1725780731317,5.1795666667,9.129330750025,133.49403416665,142.575068,271.0056156667,12,8,857,857
AE,2020-06-06 06:00:00,9,286,97.77799796153874,84.78307212716999,5.1678166667,9.152401583349999,133.48050833335003,142.56235791665,270.8556056667,12,7,854,852
AE,2020-06-06 07:00:00,9,286,100.6786990215636,83.34710630443774,5.17318,9.1471644167,133.4884075,142.57492875,270.8742673333,12,8,855,853
AE,2020-06-06 08:00:00,9,286,100.75361803181714,83.57584658066705,5.2320353333,9.233420666699999,133.46265916664998,142.5722314167,270.53707833330003,12,8,856,850
AE,2020-06-06 09:00:00,9,287,100.69101118641186,83.27831225855947,5.2147786667,9.1572885,133.4825166667,142.57494883335,270.62188433330005,12,7,856,852
AE,2020-06-06 10:00:00,9,287,101.25427327108083,83.04638578678716,5.2170716667,9.200209166650001,133.42605,142.597601,271.1322846667,12,8,861,856
AE,2020-06-06 11:00:00,9,287,101.60841145563555,83.19522502833642,5.0656866667000005,9.133362666699998,133.5854783333,142.54421766669998,270.9188703333,12,8,857,856
AE,2020-06-06 12:00:00,9,286,99.08386015699368,83.89502127266934,5.2325733332999995,9.179501499975,133.5017316667,142.58246916665001,271.1321233333,12,8,860,859
AE,2020-06-06 13:00:00,9,285,100.87546752339053,83.44648174604296,5.276875,9.2123453333,133.5032933333,142.5450426667,270.72638866669996,12,7,853,847
AE,2020-06-06 14:00:00,9,287,101.46757443565583,83.1570482820735,5.26611,9.15788016665,133.5999983333,142.58440466665002,271.1698166667,12,8,857,857
AE,2020-06-06 15:00:00,9,287,101.02846017839269,83.22769452651129,5.207355000000001,9.24504566665,133.5026116667,142.59726716665,270.788882,12,9,863,861
AE,2020-06-06 16:00:00,9,284,101.1324584665514,83.48570268828344,5.383400666699999,9.1964166667,133.54992583335002,142.61632025,271.1582206667,12,7,849,849
AE,2020-06-06 17:00:00,9,287,101.38393566179053,83.1528120487353,5.061185,9.188556166649999,133.55801,142.60509183335,270.6392956667,12,8,860,853
AE,2020-06-06 18:00:00,9,286,101.61971334988148,83.02832910723316,5.21911,9.203249749975,133.5097575,142.6199246667,271.0932433333,12,8,855,855
AE,2020-06-06 19:00:00,9,285,101.36129506608248,83.19544516575381,5.2674683333,9.1871233333,133.580615,142.601397,270.9048583333,12,7,854,850
AE,2020-06-06 20:00:00,9,288,100.14902269143232,83.59681545639262,5.226175,9.171229250024998,133.531135,142.5437535833,271.494958,12,9,866,865
AE,2020-06-06 21:00:00,9,287,100.60506284355361,83.64517261372802,5.1374666667,9.1298955,133.45372,142.5818175,272.56633566669996,12,9,863,863
AE,2020-06-06 22:00:00,10,289,99.65456911418929,83.8704556511346,5.2378996667,9.1378396667,133.4252066667,142.5146856667,270.8346076667,13,10,875,873
AE,2020-06-06 23:00:00,10,291,99.75938551374607,83.6018906380915,5.158978333299999,9.058056166650001,133.4368183333,142.53876383335,270.86616533330005,13,10,885,883
AL,2020-06-06 00:00:00,9,38,37.94609624736842,18.898740481930016,13.499073000000001,32.593282583299995,32.653777833350006,32.7210465,102.05861,9,6,106,106
AL,2020-06-06 01:00:00,8,36,38.685143750002766,19.004472138851714,15.110320000000002,32.60312366664999,32.643394166700006,32.7774633333,102.882275,8,4,96,96
AL,2020-06-06 02:00:00,8,37,38.75447310270811,18.751301663102385,15.136470000000001,32.6335603333,32.678215,32.7614446667,101.826945,8,5,101,101
AL,2020-06-06 03:00:00,9,37,37.77925622523243,19.459122977942656,5.2308033333,32.614957000000004,32.6536336667,32.7208396667,100.80731,9,4,99,99
AL,2020-06-06 04:00:00,8,36,38.852443564819445,19.512753441820575,15.262270000000001,32.613009250000005,32.676268,32.75057375,104.43305500000001,8,4,96,96
AL,2020-06-06 05:00:00,8,37,42.17345509729459,35.156711191764444,15.203795000000001,32.60625,32.666296,32.739269666700004,228.960915,8,5,101,101
AL,2020-06-06 06:00:00,9,38,38.004548743857896,18.92134206932315,13.5144383333,32.63018383335,32.68481216665,32.7674920833,101.88388,9,5,104,104
AL,2020-06-06 07:00:00,8,36,38.62334417592222,18.916121860089834,15.192375,32.592224666700005,32.67394899999999,32.77141625,100.959325,8,4,96,96
AL,2020-06-06 08:00:00,9,38,37.98335309297895,18.98711385921886,13.22528,32.620710583299996,32.663704833349996,32.751823583299995,102.34156,9,6,106,106
AL,2020-06-06 09:00:00,8,37,38.77115058558379,18.747108287802035,16.64316,32.636032666700004,32.6730366667,32.831601,101.509615,8,5,101,101
AL,2020-06-06 10:00:00,9,38,38.000693431576316,18.918866832625163,13.067824,32.651193,32.711494333350004,32.834738666674994,101.34479499999999,9,6,106,106
AL,2020-06-06 11:00:00,8,37,38.69413656035675,18.837853345835246,15.189935,32.632079,32.6886856667,32.7813143333,101.48578499999999,8,5,101,101
AL,2020-06-06 12:00:00,8,36,38.620689777775,18.82965261726975,15.27235,32.658658499975,32.71254383335,32.871607499975,101.49096,8,4,96,96
AL,2020-06-06 13:00:00,9,37,37.84353954955405,19.349756522683897,7.275143333300001,32.6840103333,32.7485896667,32.9110443333,101.78828,9,4,99,99
