,,probe_id,avg,avg,avg,avg,avg,avg,avg,avg,src_addr,dst_addr,sent,received
,,nunique,count,mean,std,min,25%,50%,75%,max,nunique,nunique,sum,sum
country_code,timestamp,,,,,,,,,,,,,
AE,2020-04-27 00:00:00,9,193,63.68590345906575,88.54664214324134,5.0594633333,12.8980063333,16.5507986667,107.1923216667,258.06017,11,6,581,580
AE,2020-04-27 01:00:00,8,193,62.73467483764869,88.53201700116344,5.0249566667000005,12.866201,16.505119333299998,98.3629316667,258.480912,10,6,581,581
AE,2020-04-27 02:00:00,9,193,60.04004700207456,87.67097537742868,5.0091866667,12.829253333299999,16.4066743333,51.7325583333,261.406992,11,8,584,583
AE,2020-04-27 03:00:00,9,196,60.24726048792448,89.24653494099785,5.0628150000000005,12.86185025,16.442643333350002,30.101455833350002,260.7856303333,11,9,595,595
AE,2020-04-27 04:00:00,9,190,64.39768223421314,89.97683659114527,5.1559733332999995,12.90361258335,16.5736815,104.59628166667501,261.065504,11,6,566,565
AE,2020-04-27 05:00:00,8,191,64.06889040488485,89.96355161702878,5.1782033333,12.922771166700002,16.573921666700002,107.52746416665,260.9824833333,10,6,575,575
AE,2020-04-27 06:00:00,9,192,67.66352357985782,89.39371176586458,5.0762266667,13.016051750025001,16.7874315,108.06330625002501,261.2606626667,11,6,577,575
AE,2020-04-27 07:00:00,8,195,74.82162247658104,87.27733783004915,5.04681,13.04961916665,26.5514316667,108.33409333335,261.3419896667,10,7,581,581
AE,2020-04-27 08:00:00,8,192,68.76398581406148,90.12000023793208,5.057165,13.010292166675,16.66035,108.449594999975,261.4922666667,10,8,578,576
AE,2020-04-27 09:00:00,8,193,67.07203813419432,90.02850901026486,5.0997833332999996,13.017813,16.626761,108.1110083333,263.93965533330004,10,6,578,576
AE,2020-04-27 10:00:00,9,195,66.83246794564154,90.20642618569566,5.0456033333,12.904996333299998,16.583792000000003,108.1429,261.670352,11,7,587,584
AE,2020-04-27 11:00:00,9,200,66.6580528900005,89.45234905211124,5.0390833333,12.929271666650001,16.59748816665,108.4359391667,261.493991,11,11,605,602
AE,2020-04-27 12:00:00,8,191,68.15401469755498,90.81782605394986,5.045875,12.9452985,16.6144696667,108.4773791667,262.20662200000004,10,8,578,576
AE,2020-04-27 13:00:00,8,194,66.90541179587522,90.47184879616049,5.01702,12.935936250000001,16.61644666665,107.98391166665,261.68681066669996,10,8,586,577
AE,2020-04-27 14:00:00,9,191,66.52886822861834,90.7275513162758,5.071423333299999,12.922801666649999,16.6039156667,108.04449083335,261.85417666669997,11,7,572,570
AE,2020-04-27 15:00:00,9,195,65.88534587709232,89.88516502525974,5.0748683332999995,12.9320445,16.695106,108.12894333335001,261.7280103333,11,7,591,587
AE,2020-04-27 16:00:00,9,195,64.89099497043024,89.75496737921122,5.0884883333,12.9440795,16.6007386667,107.73504249999999,261.5880373333,11,8,589,589
AE,2020-04-27 17:00:00,8,195,64.70398609436259,89.66574025387975,5.086335,12.951601499999999,16.607525,107.82291583335,261.73962866669996,10,9,595,595
AE,2020-04-27 18:00:00,8,188,67.23311302854307,90.68908173741688,5.1391433333,12.999906499999998,16.612504,107.95030041665,261.98132833330004,10,6,563,558
AE,2020-04-27 19:00:00,8,192,64.9318366211818,89.66770952072783,5.0184816667000005,12.97084555,16.6484135,100.388474583325,264.30447066669996,10,7,578,578
AE,2020-04-27 20:00:00,8,191,64.4481633542775,90.30929044220711,5.0241816667000005,12.89062666665,16.1939333333,108.93608250000001,261.515307,10,8,578,575
AE,2020-04-27 21:00:00,9,184,63.934206222830426,91.64490575599818,5.0074616667,12.813020166674999,16.06778483335,104.44698916667501,261.8465416667,11,7,558,558
AE,2020-04-27 22:00:00,8,192,65.30412477048648,90.22793872179427,5.0991550000000005,12.844919416649999,16.121144166649998,109.030343749975,262.1278263333,10,7,579,579
AE,2020-04-27 23:00:00,9,195,65.96407336324307,89.93157129855543,5.0267683333,12.77624366665,16.161296,109.16827666665,261.9636193333,11,7,586,583
AL,2020-04-27 00:00:00,9,52,59.72611019358847,37.51308432994472,15.363745000000002,32.2235243333,32.322205,112.13950458330001,113.4909416667,9,5,146,146
AL,2020-04-27 01:00:00,10,55,58.30246207273453,38.6985224468331,9.8762466667,32.207054166649996,32.316462,112.09146,112.8507183333,10,5,155,155
AL,2020-04-27 02:00:00,9,50,58.889109493334,37.26018227930439,15.171925,32.222008249975,32.28244983335,111.794208750025,112.8983666667,9,4,138,138
AL,2020-04-27 03:00:00,10,54,59.67547322715554,38.019765331779396,12.790302,32.236111750024996,32.338954666700005,112.239418333325,112.8001083333,10,6,154,154
AL,2020-04-27 04:00:00,9,51,58.557061915025514,37.007926642183165,15.56845,32.2243755,32.335757,111.77724166664999,112.9313766667,9,5,143,143
AL,2020-04-27 05:00:00,10,53,60.84473156603961,39.27328138696186,14.300564999999999,32.2246493333,32.2979493333,112.10904,136.4236666667,10,5,149,149
AL,2020-04-27 06:00:00,10,53,61.96736942138113,44.42373430043233,6.43083,32.2223206667,32.322348999999996,112.1813283333,164.072175,10,4,147,147
AL,2020-04-27 07:00:00,10,52,58.589040961544235,40.166066685204015,9.773205,32.229678666649995,32.29707233335,112.10487833335,145.5366416667,10,4,144,144
AL,2020-04-27 08:00:00,10,51,60.780189990201954,43.24734327473803,8.2727466667,32.2405525,32.3327013333,113.3817791667,179.5564675,10,4,140,140
AL,2020-04-27 09:00:00,10,54,61.990432098768515,41.84826683851465,7.5665516667,32.3030023333,32.375495,113.7359554167,151.8351566667,10,5,152,152
AL,2020-04-27 10:00:00,11,52,58.76380235257499,40.02999986947531,8.850475,32.255331666675,32.330571000000006,113.7276716667,130.99228,11,5,145,145
AL,2020-04-27 11:00:00,10,53,60.87614995597734,39.38442610230448,8.6293366667,32.313668,32.532667,113.6618066667,123.6564166667,10,4,147,147
AL,2020-04-27 12:00:00,9,51,62.897433372549024,42.005125888565914,15.204839999999999,32.3124255,32.398765000000004,113.83442666665,143.3418716667,9,4,140,140
