,,probe_id,avg,avg,avg,avg,avg,avg,avg,avg,src_addr,dst_addr,sent,received
,,nunique,count,mean,std,min,25%,50%,75%,max,nunique,nunique,sum,sum
country_code,timestamp,,,,,,,,,,,,,
-,2020-07-20 00:00:00,6,151,81.36317996357413,84.21121170060107,5.2449923333,27.151417000000002,37.903705,150.73974316665,287.97749066669996,7,2,451,451
-,2020-07-20 01:00:00,6,151,81.92416940618145,84.0910390660708,5.2428676667000005,26.0504861667,38.4378233333,150.844368,287.85262966669995,7,2,452,452
-,2020-07-20 02:00:00,6,154,80.6718525465383,84.30197900027028,5.036386,21.677416666649997,37.32081166665,150.7982740833,296.034516,7,2,459,459
-,2020-07-20 03:00:00,6,151,81.60003689183249,84.39747481690165,9.3240753333,27.518854,38.014595,150.966375,294.9669743333,7,2,452,451
-,2020-07-20 04:00:00,6,155,80.42831669032195,83.94717020420798,6.114161,27.3622565,38.0850383333,150.93120166665,294.4672096667,7,2,465,464
-,2020-07-20 05:00:00,6,153,81.02299634749345,84.13781980597385,5.4546296667,27.412556,37.99004,150.848875,292.249845,7,2,458,458
-,2020-07-20 06:00:00,6,152,81.53131882455855,84.13177481020188,8.1329266667,27.36186116665,37.940754999999996,150.80357633330001,295.770138,7,2,450,448
-,2020-07-20 07:00:00,6,151,81.08151512803444,84.45385004943043,6.663290333300001,27.4101945,37.951395,150.8343266667,287.7129106667,7,2,450,446
-,2020-07-20 08:00:00,6,151,81.55545783774774,84.36508416374157,10.5924973333,27.133833333299997,38.151293333299996,150.83454883335,289.8747963333,7,2,452,450
-,2020-07-20 09:00:00,6,151,82.64558696468015,84.03397105436468,6.7401746667,27.5128335,38.5484026667,150.80621566665002,295.3287016667,7,2,452,451
-,2020-07-20 10:00:00,6,144,86.69664674999997,84.62173897356328,6.972217999999999,27.08885108335,41.1567371667,150.884378583325,290.5598423333,7,2,432,432
-,2020-07-20 11:00:00,5,130,91.87828767692075,87.77903120318268,16.560485999999997,26.241586749999996,44.2783775,150.99459033335,303.14541133330005,6,2,388,388
-,2020-07-20 12:00:00,5,121,97.23197340771407,88.38649778163868,15.9022,24.9872503333,52.6245973333,150.9493333333,287.8959946667,6,2,361,361
-,2020-07-20 13:00:00,6,143,85.04485910489302,85.28617636499037,9.5417676667,27.300812666649996,40.1390516667,150.9304378333,287.7308623333,7,2,429,428
-,2020-07-20 14:00:00,6,151,81.757749104853,84.18536428452173,8.2452063333,27.296764000000003,38.765409999999996,150.79154866665,295.33665033330004,7,2,450,450
-,2020-07-20 15:00:00,6,152,81.65378883991188,83.64416919248895,9.4499553333,27.6095590833,38.69846833335,150.9374445,290.5274656667,7,2,454,453
-,2020-07-20 16:00:00,6,151,83.49821108167552,83.89135165839106,6.850523333300001,27.49082633335,38.8657733333,150.85503483335,297.510509,7,2,453,453
-,2020-07-20 17:00:00,6,152,83.03700263486579,83.49242692886793,7.741621,27.197656333350004,38.959116666650004,150.781666749975,287.64308666669996,7,2,455,452
-,2020-07-20 18:00:00,6,151,83.29251536313247,83.91866695146527,5.697159,27.53719466665,38.9212183333,150.81640299999998,287.8530466667,7,2,452,452
-,2020-07-20 19:00:00,5,150,83.55646606222007,84.11127655837815,16.6878476667,27.526496499975,38.97735583335,150.89387499997503,290.7605,6,2,447,446
-,2020-07-20 20:00:00,6,146,81.98196627625761,84.8007953624218,6.1433573333,27.339403000025,38.89373791665,150.22803850000003,296.475526,7,2,436,434
-,2020-07-20 21:00:00,6,151,81.57117664128275,84.51765440598913,16.564555666700002,27.56077083335,38.724565000000005,150.82368066664998,304.527802,7,2,451,451
-,2020-07-20 22:00:00,5,150,82.53107633889005,84.07739549106196,16.5809443333,27.5258679167,38.72425083335,150.92417016669998,288.4266216667,6,2,449,447
-,2020-07-20 23:00:00,6,151,80.86210190065495,84.4701224144638,6.209232666699999,22.191368,38.6541966667,150.7025763333,288.2161346667,7,2,450,449
AE,2020-07-20 00:00:00,9,258,63.870656962533744,87.03479540798159,5.1949366667,11.377223333299998,16.033389166649997,105.81088166669998,269.20178266669996,12,8,776,776
AE,2020-07-20 01:00:00,8,257,64.00161991854675,87.18444079134427,5.1097566667,11.360128,16.0024616667,105.73188999999999,269.01541833330003,11,8,773,773
AE,2020-07-20 02:00:00,9,259,63.55476259614368,86.96910649200372,5.0472283333,11.3772305,16.027365,105.87052083335,268.66532866669996,12,8,783,783
AE,2020-07-20 03:00:00,9,259,63.575971920205,86.95206239637663,5.211345,11.3919858333,16.044138333299998,105.7132225,268.7310913333,12,9,785,785
AE,2020-07-20 04:00:00,8,256,65.85494738854375,90.44832956851741,5.144895,11.4464735,16.0616725,105.8333183333,446.4737408,11,8,770,770
AE,2020-07-20 05:00:00,8,255,64.48683128104824,87.37032647400845,5.234531666700001,11.4830375,16.0583633333,105.7424225,268.77542766669995,11,7,765,765
AE,2020-07-20 06:00:00,9,259,64.09543162676874,86.96196754964224,5.3158316667,11.493355000000001,16.0880366667,105.834545,268.8894036667,12,10,783,783
AE,2020-07-20 07:00:00,9,259,65.32617261158379,90.09906718828186,5.013434999999999,11.473368833350001,16.07959,105.88809416664999,447.0820428,12,9,783,783
AE,2020-07-20 08:00:00,9,258,64.37107255607056,87.07221595045739,5.00058,11.50293275,16.09852916665,105.902772083325,268.9304133333,12,9,778,778
AE,2020-07-20 09:00:00,9,259,65.75572513745057,90.06029777542864,5.277305,11.52986716665,16.14412,106.21062166665,443.9706612,12,10,783,783
AE,2020-07-20 10:00:00,9,258,65.55372829896743,90.2595815783744,5.2619416667,11.55943183335,16.13505166665,105.790186249975,450.10729860000004,12,9,778,778
AE,2020-07-20 11:00:00,9,260,65.0690903653854,90.08697101064087,5.011511666700001,11.4931336667,16.031714166649998,105.95664333330001,450.0987422,12,11,788,788
AE,2020-07-20 12:00:00,8,258,63.823070550387236,87.07943150741447,5.0973370000000005,11.5253175,16.0529725,105.81768958335,269.06397000000004,11,9,780,780
AE,2020-07-20 13:00:00,9,261,63.64094842835288,86.81734448741298,5.2216366667,11.524471,16.0681383333,105.9569466667,269.34340533330004,12,12,793,793
