,,probe_id,avg,avg,avg,avg,avg,avg,avg,avg,src_addr,dst_addr,sent,received
,,nunique,count,mean,std,min,25%,50%,75%,max,nunique,nunique,sum,sum
country_code,timestamp,,,,,,,,,,,,,
AE,2020-05-28 00:00:00,9,286,95.31881193123115,84.43583850572251,5.0196233333,8.95583725,131.72250583329998,142.52487474999998,268.75534066669996,12,7,858,858
AE,2020-05-28 01:00:00,9,286,95.42507397901818,84.44069036171405,5.0657616667,8.986382749975002,131.66586333335,142.54444516667502,268.66043433330003,12,8,860,860
AE,2020-05-28 02:00:00,10,287,95.14321497386521,84.45413630009907,5.0704183333,8.9695948333,131.6748833333,142.54542083335,268.69776233330003,13,9,864,864
AE,2020-05-28 03:00:00,10,286,95.42457353380205,84.46275480565035,5.07685,8.999770166674999,131.68423083329998,142.57315741665,268.8814693333,13,8,860,860
AE,2020-05-28 04:00:00,10,286,95.37663394172624,84.43934817044303,5.1107083333,9.000217000025,131.69504916665,142.574634833325,268.661285,13,8,860,860
AE,2020-05-28 05:00:00,10,288,94.86416629861452,84.46440884324282,5.135512,9.0004901667,131.70756083335,142.58650708335,269.2249703333,13,9,868,868
AE,2020-05-28 06:00:00,9,286,95.44540950000038,84.43874436654976,5.17548,9.0461761667,131.785275,142.60259958335,268.9213236667,12,8,859,859
AE,2020-05-28 07:00:00,9,287,95.20602376306863,84.452168019475,5.270375,9.041751166650002,131.787215,142.630943,268.8558003333,12,8,865,865
AE,2020-05-28 08:00:00,10,289,94.97438316793644,84.34276719936902,5.221962,9.0523256667,131.81853,142.6136633333,269.10246566669997,13,11,875,875
AE,2020-05-28 09:00:00,9,287,95.58030081788633,84.35184382510604,5.1783383333,9.059554666699999,131.7312466667,142.6226048333,269.18298500000003,12,9,865,865
AE,2020-05-28 10:00:00,9,289,94.95035578281347,84.31956036535145,5.2277253332999996,9.000367,131.7948933333,142.597297,268.8519273333,12,11,875,874
AE,2020-05-28 11:00:00,9,289,94.62166185466927,84.40599985787121,5.1309266667,9.019112,131.7960383333,142.5757103333,269.2366686667,12,10,870,870
AE,2020-05-28 12:00:00,9,288,95.32622091087887,84.35237527023254,5.2083126667,9.0285643333,131.78380249999998,142.55075891665,269.395069,12,10,870,870
AE,2020-05-28 13:00:00,9,287,95.18425350522577,84.44862191961076,5.2371146667,9.0131376667,131.7607166667,142.6035691667,269.0502066667,12,9,865,865
AE,2020-05-28 14:00:00,9,305,101.76938488032857,83.58626392346974,5.2477216667,11.4371223333,104.25738100000001,135.5837243333,597.8145283333,12,7,913,913
AE,2020-05-28 15:00:00,9,289,94.97576752503011,84.3270088248904,5.26905,9.206476333300001,131.720045,142.586674,269.014573,12,9,873,873
AE,2020-05-28 16:00:00,9,286,95.89828981771502,84.29040802772688,5.1508616667,9.219896749975,131.78841749999998,142.62391858335002,269.140531,12,8,860,860
AE,2020-05-28 17:00:00,9,285,95.843543395322,84.46216778560947,5.1953566667,9.2482843333,131.7756683333,142.5828043333,269.61542000000003,12,7,855,855
AE,2020-05-28 18:00:00,9,287,95.50612440580697,84.2901819432022,5.07941,9.21106466665,131.8147116667,142.6454076667,268.6033013333,12,8,862,862
AE,2020-05-28 19:00:00,9,286,95.82518099930004,84.26230712072861,5.1294233333,9.191172583325,131.8010625,142.56733808332498,269.3780073333,12,8,860,860
AE,2020-05-28 20:00:00,9,286,95.80282570314657,84.27044692378247,5.175,9.159248916674999,131.6899075,142.565417500025,269.5489896667,12,8,859,859
AE,2020-05-28 21:00:00,10,286,95.43973758624757,84.41676732377705,5.3025493333,9.136350416675,131.7421983333,142.58568283332502,269.495049,13,8,860,860
AE,2020-05-28 22:00:00,9,288,94.78017100578784,84.4154707199447,5.011101,9.126165250025,131.73338999999999,142.56300283332502,268.78428533330003,12,8,868,868
AE,2020-05-28 23:00:00,10,286,95.39421679953333,84.40954059859992,5.2028433333,9.12501158335,131.7352216667,142.53200966664997,268.48546,13,8,860,860
AL,2020-05-28 00:00:00,8,37,38.44843207388108,18.028127947853143,15.845429999999999,32.6123436667,32.652355666700004,32.7339066667,102.3518,8,5,101,101
AL,2020-05-28 01:00:00,9,38,37.726975382457894,18.083961561372263,13.15621,32.600008083325,32.6455763333,32.7414219167,101.243725,9,6,106,106
AL,2020-05-28 02:00:00,8,37,37.81869445045135,18.133596627939017,15.9171,32.6023936667,32.627733,32.7218313333,100.968305,8,4,99,99
AL,2020-05-28 03:00:00,9,38,36.91083320174737,18.840165650578708,7.1722666667,32.600744750025,32.63017083335,32.756260083324996,102.177485,9,4,102,102
AL,2020-05-28 04:00:00,9,37,37.569458963959455,18.73779044065204,7.1551283333,32.5976503333,32.6507406667,32.7202656667,101.98725,9,4,99,99
AL,2020-05-28 05:00:00,8,36,38.458495629625,18.205446760707996,15.9666,32.602976750025,32.64771466665,32.729161500000004,102.214955,8,4,96,96
AL,2020-05-28 06:00:00,9,40,35.980912440002506,19.22474149380681,5.603135,32.59751891665,32.65187,32.75190033335001,101.85842,9,5,110,110
AL,2020-05-28 07:00:00,10,38,37.600038789478944,18.77036223795803,6.42214,32.63452941665,34.1862175,34.57495791665001,102.35039499999999,10,5,104,104
AL,2020-05-28 08:00:00,10,40,36.703855561670004,18.83418444894432,6.949376666699999,32.613979166700005,32.750919833299996,34.51013825,101.7194,10,6,110,110
AL,2020-05-28 09:00:00,9,39,36.63360199144615,18.764279429230168,6.5747983333,32.60683516665,32.6758193333,32.769073999999996,101.47564,9,4,105,105
AL,2020-05-28 10:00:00,10,40,35.959049216664994,19.06722409686735,7.0299116666999995,32.60241691665,32.6641516667,32.763965083325,102.642195,10,5,108,108
AL,2020-05-28 11:00:00,10,40,35.52070305,19.877437146355142,5.0504233332999995,32.612107833325,32.6946475,33.086838249975,103.095805,10,6,109,109
AL,2020-05-28 12:00:00,9,40,36.112438589997495,19.27797153267555,5.2170733333,32.6388345,32.7022236667,32.75830675,101.293835,9,5,110,110
AL,2020-05-28 13:00:00,9,37,38.18124724324595,20.058507755848076,7.6627366667,32.6433596667,32.6841906667,32.853978000000005,101.945675,9,4,99,99
