,,probe_id,avg,avg,avg,avg,avg,avg,avg,avg,src_addr,dst_addr,sent,received
,,nunique,count,mean,std,min,25%,50%,75%,max,nunique,nunique,sum,sum
country_code,timestamp,,,,,,,,,,,,,
AE,2020-05-19 00:00:00,9,197,115.5451116260548,80.88809096642669,5.163895,14.1885683333,131.4154263333,134.930877,263.1396256667,11,6,595,594
AE,2020-05-19 01:00:00,9,197,115.11105007613966,81.27772382985373,5.157175,16.1468383333,131.4321553333,134.924289,262.8465093333,11,6,594,594
AE,2020-05-19 02:00:00,8,197,113.77738983586798,82.6702076207903,5.2237033333,14.1208933333,131.5639006667,135.2007263333,262.4372866667,10,6,593,593
AE,2020-05-19 03:00:00,8,195,116.25180529572569,81.88245688164677,5.2540766667000005,18.41297166665,131.62363200000001,134.9973725,262.5317043333,10,5,584,584
AE,2020-05-19 04:00:00,8,196,117.68204378690147,80.909837037264,5.1536483333,18.759102499974997,131.70448483335002,134.858419583325,262.70806400000004,10,6,589,589
AE,2020-05-19 05:00:00,9,201,117.2639230290219,80.31191737824268,5.11116,14.4790633333,131.6611633333,134.9339146667,262.54977033330005,11,9,611,610
AE,2020-05-19 06:00:00,8,198,118.44592869528492,79.9969374474378,5.0250266667000005,19.325679666675,131.8858033333,135.321795166675,262.2543353333,10,7,598,598
AE,2020-05-19 07:00:00,9,198,120.04582904528786,79.38873770418547,5.3009233333,49.99756833335,131.9285655,135.07896966669998,263.7574973333,11,9,599,599
AE,2020-05-19 08:00:00,9,197,121.12282085871114,79.16075363280932,5.311255,101.9003733333,131.7003846667,134.880156,262.7597693333,11,7,589,586
AE,2020-05-19 09:00:00,9,198,119.93868524848644,79.67800759343848,5.2746699999999995,35.47986541665,131.757936,135.07986049997498,262.8021193333,11,7,600,591
AE,2020-05-19 10:00:00,8,194,122.61642013625105,78.88800738853027,5.2916583333,101.895950833325,131.96037216665,135.7864490833,263.3390776667,10,6,575,569
AE,2020-05-19 11:00:00,8,198,122.31344029478333,78.12345721518184,5.65194,101.832262916675,131.7385935,135.156350250025,262.55211533330004,10,8,590,587
AE,2020-05-19 12:00:00,8,197,120.12342516379547,79.47301210442699,5.1567766667,89.74288,131.70773400000002,135.0014643333,263.839388,10,7,599,597
AE,2020-05-19 13:00:00,8,198,118.91189999915356,80.35607550726031,5.1395383333,14.237481249975,131.71826466665,135.146755250025,262.382133,10,7,595,586
AE,2020-05-19 14:00:00,9,199,121.06035689028296,78.73610815739798,5.2477716667,101.782285,131.8363996667,134.9533493333,262.9160253333,11,9,600,597
AE,2020-05-19 15:00:00,9,197,120.43187047462129,79.43906522632217,5.35915,101.00017,131.6953576667,134.9830343333,262.408072,11,6,590,582
AE,2020-05-19 16:00:00,9,196,121.06017780152865,79.36172747872189,5.1182833333,101.8187641667,131.928986,135.13180758335,262.8913396667,11,8,589,583
AE,2020-05-19 17:00:00,9,199,119.06235856314971,79.85132783004337,5.0683716667,14.8504775,131.6657646667,135.14550116664998,262.4876383333,11,8,602,599
AE,2020-05-19 18:00:00,8,194,122.1657026778325,78.8515801059785,5.180755,101.84824208334999,131.81873633335,135.023471333325,262.9981583333,10,5,580,578
AE,2020-05-19 19:00:00,8,196,122.47571104370765,78.10367259282353,5.2362533333,101.80548749999998,131.874029,135.071189416675,262.5701086667,10,6,588,587
AE,2020-05-19 20:00:00,8,197,120.31777469949087,79.03626305611132,5.118745,96.50782,131.76116000000002,135.069953,262.675825,10,7,594,592
AE,2020-05-19 21:00:00,8,197,118.40639491370659,80.58809269162379,5.0104690000000005,14.210543333299999,131.830375,135.0572266667,263.0381893333,10,6,592,589
AE,2020-05-19 22:00:00,8,196,120.13124958843618,79.25383408573784,5.1735016667,90.491467500025,131.77252966665,134.912058333325,262.9006666667,10,6,589,588
AE,2020-05-19 23:00:00,9,197,118.56928269374369,80.47679770068217,5.2100866667000005,25.639454999999998,131.735674,135.1002936667,262.38450666669996,11,7,593,589
AL,2020-05-19 00:00:00,8,36,38.590180490736124,20.79897262538594,15.24124,32.268212333324996,32.308740666649996,32.3966899167,126.196285,8,4,96,96
AL,2020-05-19 01:00:00,8,36,38.595267018516665,20.763497955109244,15.181965,32.271722750025,32.31007766665,32.44034933335,125.746035,8,4,96,96
AL,2020-05-19 02:00:00,9,37,37.87980852252162,20.904321016572833,12.483688,32.238996666700004,32.3006236667,32.3880823333,125.148605,9,5,101,101
AL,2020-05-19 03:00:00,8,36,38.575724129633336,20.754244802806916,15.17346,32.25525633335,32.314701666649995,32.39238158335,125.61543999999999,8,4,96,96
AL,2020-05-19 04:00:00,8,37,38.64445467387296,20.769141313081274,15.1314,32.2671646667,32.314876,32.446121999999995,126.30086999999999,8,5,101,101
AL,2020-05-19 05:00:00,9,38,37.61710550526578,20.784686800556713,5.2973433333,32.2731805,32.296050333349996,32.36025325,124.91155,9,5,104,104
AL,2020-05-19 06:00:00,9,40,36.19207330000249,21.670756548186958,5.269925,32.24655325,32.31725133335,32.4363015,125.35573000000001,9,5,110,110
AL,2020-05-19 07:00:00,9,40,35.64828545832499,21.954185931820277,5.211725,32.232565333325,32.342240166699995,32.4385203333,125.746555,9,4,108,108
AL,2020-05-19 08:00:00,9,42,35.37885347619048,20.921906713664562,5.5971783333000005,32.219265416675,32.28823883335,32.34498950002501,124.91247,9,4,114,114
AL,2020-05-19 09:00:00,10,42,34.35460434126192,22.56635850884981,5.021965,32.26492775,32.3277728333,32.46211416665,125.36876000000001,10,5,116,116
AL,2020-05-19 10:00:00,9,39,37.582484124787186,21.60579696487517,9.722801666699999,32.28955083335,32.3216276667,32.42465,125.756505,9,5,107,107
AL,2020-05-19 11:00:00,9,40,36.89160696667749,21.18891376717358,5.0972966667,32.273650416675,32.3398546667,32.375662666699995,126.01310500000001,9,4,108,108
AL,2020-05-19 12:00:00,9,41,34.93436725609513,21.95145781461294,5.351218333299999,32.291294,32.3676273333,32.392458000000005,125.76773500000002,9,4,111,110
AL,2020-05-19 13:00:00,10,38,37.226566842107886,21.62086415187236,5.1265916667,32.304476499974996,32.34960433335,32.470993250025,126.03686,10,5,104,104
