,,probe_id,avg,avg,avg,avg,avg,avg,avg,avg,src_addr,dst_addr,sent,received
,,nunique,count,mean,std,min,25%,50%,75%,max,nunique,nunique,sum,sum
country_code,timestamp,,,,,,,,,,,,,
-,2020-07-13 00:00:00,5,122,94.91133940163691,89.534526207151,6.127491,27.75914558335,49.5054655,150.831521000025,307.59903333330004,6,2,366,366
-,2020-07-13 01:00:00,4,120,94.60527266249832,90.08147706338764,16.6861116667,27.6562741667,47.578590500000004,150.89956658335,296.41121733330004,5,2,359,359
-,2020-07-13 02:00:00,5,124,91.77837926075321,89.42737582709177,5.80796,27.5270764167,44.9668681667,150.89728866665,287.595126,6,2,372,372
-,2020-07-13 03:00:00,5,121,94.22670118457269,89.13465915286451,16.582819333299998,27.7951526667,48.2690413333,150.960403,288.78632933330005,6,2,363,363
-,2020-07-13 04:00:00,5,121,93.81348355647191,89.96895221573406,5.8272796667,27.7198886667,47.3987083333,151.0010976667,304.2033626667,6,2,363,363
-,2020-07-13 05:00:00,5,122,91.70231174316885,90.52143336786129,5.7778143333,27.469781250025,48.402625166700005,150.95224666665,295.8079846667,6,2,366,366
-,2020-07-13 06:00:00,5,121,94.0614893994496,89.73901310924379,6.353301666699999,27.6224443333,48.7784033333,151.0135693333,295.2676196667,6,2,363,363
-,2020-07-13 07:00:00,5,122,94.42821038524757,88.9386161817071,6.569831,27.934500000025004,48.1630765,150.980454750025,290.682596,6,2,366,366
-,2020-07-13 08:00:00,4,120,95.75659662777335,89.29531110271054,16.7328473333,27.836833499975,50.1213196667,151.00740966665,293.708316,5,2,360,360
-,2020-07-13 09:00:00,4,120,96.41333841389256,88.77780032899337,16.398153,27.80812533335,51.155541666649995,150.98090308335,293.2173383333,5,2,360,360
-,2020-07-13 10:00:00,5,123,94.14220272357642,88.91547353346827,6.222631333300001,27.5673545,47.969514000000004,151.014014,295.5083476667,6,2,369,369
-,2020-07-13 11:00:00,5,122,92.90878462568445,89.79510408545042,5.4672626667,27.469760499975003,48.4324165,150.923385500025,287.88137466669997,6,2,366,366
-,2020-07-13 12:00:00,5,121,93.48302838842811,89.9180999373452,16.6380416667,27.551889000000003,47.507611,151.027625,296.72224900000003,6,2,363,363
-,2020-07-13 13:00:00,4,120,93.98124295555168,90.50670364072786,16.4776943333,27.47037841665,48.317743,151.060684250025,298.010809,5,2,360,360
-,2020-07-13 14:00:00,4,120,95.571002897225,89.29865493179786,16.650389,27.728215249999998,48.513694666700005,150.96937500002502,287.70477400000004,5,2,360,360
-,2020-07-13 15:00:00,5,121,93.38792829752234,89.72219346942416,13.22751,27.436778000000004,48.291292,150.9770003333,287.6096553333,6,2,363,363
-,2020-07-13 16:00:00,5,122,93.12949463387953,89.60851563952346,8.9158386667,27.633659833350002,47.68852083335,150.89285433335,296.4707556667,6,2,366,366
-,2020-07-13 17:00:00,4,120,96.52045565,88.69390427537792,16.936,27.723645999975,49.6060835,151.003892500025,290.6619093333,5,2,360,360
-,2020-07-13 18:00:00,4,120,94.38019929722084,89.69807103527106,16.5551946667,27.560576416700002,47.40154866665,150.971670249975,289.548424,5,2,360,360
-,2020-07-13 19:00:00,5,121,93.42212997795873,89.87764361152938,11.880450333299999,27.5208056667,47.578708,150.8780556667,290.9695746667,6,2,363,363
-,2020-07-13 20:00:00,4,120,94.99168512500081,89.56732990437882,16.5317223333,27.35945483335,49.3329511667,150.819673750025,293.36938733330004,5,2,360,360
-,2020-07-13 21:00:00,5,121,95.17004837740909,89.09172663330844,5.5803183333,27.6274856667,47.539235999999995,150.8313336667,291.28650166669996,6,2,363,363
-,2020-07-13 22:00:00,4,120,94.0410657111133,90.34821275559675,16.5948753333,27.573739499975,47.3100905,150.8567015833,306.40514333330003,5,2,360,360
-,2020-07-13 23:00:00,4,120,94.64358403332996,89.66932848278302,16.660097333299998,27.5358823333,47.727895833299996,150.88303133335,296.030875,5,2,360,360
AE,2020-07-13 00:00:00,8,256,110.1661453046905,86.19704831368423,5.068746,11.325337666700001,141.0626215,145.65902825,275.2499086667,11,8,770,770
AE,2020-07-13 01:00:00,9,257,110.19692274578512,86.02484837296116,5.1587333333,11.382719999999999,141.0788593333,145.7033796667,274.6095093333,12,9,775,775
AE,2020-07-13 02:00:00,8,258,109.84337472067206,86.171399648118,5.080965,11.371978666675002,141.0595766667,145.678245166675,275.0612286667,11,10,780,780
AE,2020-07-13 03:00:00,9,258,109.88700182816554,86.05415950636316,5.1994866667,11.395002000025,141.02529866665,145.60870341667498,275.317437,12,9,778,778
AE,2020-07-13 04:00:00,9,259,109.44981676344673,86.1304610211663,5.2116883333,11.39845233335,141.1599396667,145.65984600000002,274.7461696667,12,10,785,785
AE,2020-07-13 05:00:00,8,256,110.65297200781289,85.9359452641915,5.2263083332999996,11.421992749999998,141.10227933329998,145.734165083325,274.89881,11,8,770,770
AE,2020-07-13 06:00:00,8,257,110.72645039999844,85.72384083200465,5.21263,11.440521,141.1737576667,145.7043193333,276.20953533330004,11,9,775,775
AE,2020-07-13 07:00:00,9,258,110.22789560723793,86.40715256896135,5.3067416667,11.44775125,141.285236,145.68835641665,274.68773166669996,12,8,776,776
AE,2020-07-13 08:00:00,10,259,109.48006081081198,86.1764146888084,5.000030000000001,11.474882833350001,141.0954326667,145.76564633335,275.17429266669996,13,8,783,782
AE,2020-07-13 09:00:00,9,258,109.85812993255891,86.09343669950282,5.0259243333,11.509545750025001,141.1991605,145.704538749975,274.97932333330004,12,9,778,778
AE,2020-07-13 10:00:00,9,258,110.36712331602087,85.88301417185538,5.04183,11.479562666700001,141.16895083330002,145.72670258329998,275.1816616667,12,8,775,775
AE,2020-07-13 11:00:00,9,257,110.80871154526773,85.81567311892478,5.0538016667,11.444094999999999,141.2009816667,145.74344,274.80498666669996,12,8,773,773
AE,2020-07-13 12:00:00,9,258,109.99228194935586,86.0795931836124,5.2623916667,11.521355583325,141.09687533335,145.7681648333,276.5543646667,12,9,777,777
